,,,Legislation Addressing Moto-Taxis,Driver Requirements,,,,,,,,,Vehicle Requirements,,,,,,,Passenger Safety & Service Standards,,,,,,Membership & Organizational Structure,,,,,"Fees, Financial Requirements",,,,,Other,Compliance Data
,Moto-taxi presence and law,,Legislation Addressing Moto-Taxis,Drivers license,Commercial operating license (PSV etc),ID / Biodata (database),Driver helmet,Helmet quality,Reflector jacket,Visible ID (on jacket or elsewhere),Toxicology screening (apart from alcohol),Driver training,Vehicle registration (logbook),License plate specific to commercial operators,Insurance (third party / liability),Vehicle quality check (recurring),Targets or mandates for electrification,Fiscal incentives for electrification,Non-fiscal incentives for electrification,Passenger helmet,Road behavior / standard of service ,Multiple passenger restriction,Overloading,Safety data sharing w gov (from apps or direct from drivers),Passenger age requirement,Stage membership,Physical or organizational requirements at stages,Association membership,Local authority authorization,Online riders regulated,Joining sector fee(s),Operating Fee,Geographic restrictions,Fares,GPS or other tracking requirements,Other,
Uganda,Written to show commitment. Enforcement a combination of the possible and the bribe-raising. Big gap between policy and police.                        ,Written,Present,Present,No data,Present,Present,Present,Present,Mixed status,Not present,Present,Present,Not present,Present,Present,Present,Mixed status,Present,Present,Present,Present,Not present,No data,Mixed status,Present,No data,It's complicated,Present,Present,Not present,Not present,It's complicated,Not present,,,
,,Enforced,,Sometimes,Rarely / Never,Sometimes,Very commonly,Rarely / Never,Commonly,,,,Rarely / Never,,Rarely / Never,,,,,Rarely / Never,Sometimes,,,,,Sometimes,,Rarely / Never,Rarely / Never,Rarely / Never,Rarely / Never,Sometimes,Rarely / Never,,,,
,,Source,,,,,,,,,,https://udls.co.ug/apply-for-your-full-driving-licence-step-by-step/,2016 Regulation,,,,E-Mobility Strategy,,,2016 Regulation,,2016 Traffic and Road Safety (Motorcycles and Motorised Tricycles) Regulations,,,,,,,,,,,,,,,
,,Notes,,Clear safety benefit; low compliance,Regulate who operates in sector; low compliance,Registration drives often attempted; always fail,Clear safety benefit; reasonable compliance in KLA,"2023 legislation adds ""The helmet referred to in subregulations (4) and (5) shall comply with the standards issued by the
Uganda National Bureau of Standards.”",Occasional reflector jacket crackdown,Required in KCCA; but not enforced and 95%+ non-compliance.,,,A copy of the registration book is required to apply to be a boda boda rider.,,Third party requirement,An inspection report showing motor vehicle roadworthiness is required.,,"Locally-manufactured e-motorcycles pay 0 VAT. However, the process to access this benefit has not been made clear, and no one has accessed it.",,"""Every passenger on a motorcycle shall wear a crash or safety helmet provided by the driver at all times while being carried on the motorcycle.""",Road regulations; low compliance,"Cannot carry more than one passenger, unless that child is 12 or younger",,,"If a passenger is 12 or younger, they must be accompanied by an adult.",Desires for security; few enforcement mechanisms on road,,"Rather than association membership specifically required, PTPE membership required",Part of registration process (fails),,"No fee *specifically for joining sector*, only same fees as to be a motorcycle driver",Tempting revenue raiser - politically blocked as a means of earning votes and undermining opposition leadership in KLA.,Highly desire for ID & security purposes. KCCA v GKMA and passenger realities mean difficult to enforce.,,,,"Drivers license, commercial license, insurance, driver helmet, passenger helmet, all available "
Thailand,Most laws (except passenger helmet wearing) highly enforced on stage riders; most laws (except general traffic laws) not enforced at all on online riders,Written,Present,Present,Present,Present,Present,Present,Present,Present,Not present,Present,Present,Present,Not present,Not present,No data,No data,No data,Present,Present,Not present,Not present,Not present,Not present,Present,No data,Not present,Present,Not present,No data,Present,Not present,Present,Not present,,
,,Enforced,,,,,,Rarely / Never,,,,,,,,,,,,,,,,,,Very commonly,,,,,,,,,,,
,,Source,2004/5 Law,2004/5 Law,2004/5 Law,2004/5 Law,Original 1979 Road Traffic Act,TIS 369-2557,2004/5 Law,2004/5 Law,,2004/5 Law,2004/5 DLT Regulation,2004/5 DLT Regulation,,,,,,(some traffic law?),(some traffic law?),,,,,2004/5 Law,,,,,,,,2004/5 Law,,,
,,Notes,,"Specifically, they must get a commercial drivers license (6/1)","Specifically, they must get a commercial drivers license",Collected by DLT,,,Very key part of the law is that the jacket acts as the authority to work,,,,,Yellow license plate,,,,,,,,,,,,Enforced for stage riders; not enforced for online riders,,,"provincial-level committee (คณะกรรมการประจำจังหวัด) including local admin, traffic, and transport officials govern registration and stage assignments",,,Annual registration fee,No legal restrictions on movement,Regulated by DLT,,,
Indonesia,,Written,Present,Present,No data,No data,Present,Present,Present,Present,Not present,Not present,Present,Not present,Present,Not present,No data,Not present,No data,Present,Present,Present,No data,No data,Not present,Not present,Not present,Not present,No data,Present,No data,No data,No data,Present,Not present,Present,
,,Enforced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source,https://peraturan.bpk.go.id/Details/104095/permenhub-no-12-tahun-2019,Indonesia-Reg.-No.-12-of-2019.pdf,,,Indonesia-Reg.-No.-12-of-2019.pdf,Indonesia-Reg.-No.-12-of-2019.pdf,"Indonesia Reg. 12 of 2018, art. 4","Indonesia Reg. 12 of 2018, art. 4",,,,Indonesia-Reg.-No.-12-of-2019.pdf,Highway Code Indonesia,Indonesia-Reg.-No.-12-of-2019.pdf,,,,Indonesia-Reg.-No.-12-of-2019.pdf,,Indonesia-Reg.-No.-12-of-2019.pdf,,,,,,,,Here,,,,https://setkab.go.id/inilah-keputusan-menhub-soal-besaran-tarif-jasa-ojek-dengan-aplikasi/,,Indonesia-Reg.-No.-12-of-2019.pdf,
,,Notes,,The driver has a driver's license C (for under 250 cc engines),,,Drivers and Passengers use Indonesian national standard helmets,Drivers and Passengers use Indonesian national standard helmets,The driver wears a jacket with a material that can reflect light along with the driver's identity,The driver wears a jacket with a material that can reflect light along with the driver's identity,,,,"Requires black background / white lettering, same as private",Pg. 94 Under Law 33/1964 and 34/1964 complusory accident insurance is required,MIn. CC of 110; req having a C license which is only up to 250 cc,,"Had a roughly $400 incentive for e-motos which have a certain level of local value addition. Was removed in 2025, then reinstated, and removed again.",,Drivers and Passengers use Indonesian national standard helmets,,"""The driver does not bring the Passenger more than 1 (one) person""",,,,Not in the 2019 legislation,,Not in the 2019 legislation,,The 2019 regulation spells out quite a bit for the online sector. But for some reason this is considered insufficient and there is an attempt to create new legislation.,,,,"KP 348 has the specific fare calculation for online. From PM 12: For offline: Article 7 - to be negotiated. For online: Article 11-3 sets out a complex scheme, with 11 costs to be factored in, including profit, which probably makes the whole thing pointless.",,"Drivers cannot smoke and drive; drivers must be polite; must wear ""appropriate, neat and clean clothes""",
Rwanda,"Capacity to enforce visible elements (helmet, jacket, movement) high; capacity to enforce fares low; EM: attempts to impose GPS tracking, digital platform membership and plan for parking slots, though not implemented",Written,Present,Present,Present,Present,Present,Present,Present,Not present,Not present,Mixed status,Present,Not present,Present,Present,Present,Present,Present,Present,Present,Present,No data,Mixed status,Not present,Mixed status,Not present,Present,Mixed status,Not present,Present,Present,Not present,Present,Present,Present,
,,Enforced,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,Rarely / Never,Rarely / Never,,
,,Source,RURA 2019,RURA 2019,RURA 2019,RURA 2019,RURA 2019,RS 576:2024,RURA 2019,,,,RURA 2019,,RURA 2019,Police,,,,RURA 2019,,RURA 2019,,,,RURA 2019,,RURA 2019,RURA 2019,,RURA 2019,RURA 2019,,RURA 2019,RURA 2019,https://police.gov.rw/uploads/tx_download/Traffic_Law_2015_02.pdf,
,,Notes,"Regulations have been passed by RURA, City of Kigali and others specifically addressing motorcycle-taxis
EM addition: inclusion of moto-taxis in planning documents, e.g. 2021 National Transport Policy and Strategy for Rwanda and 2020 Kigali Transport Master Plan ",Must be updated annually,"Article 5 requires an ""operation's license"" from RURA",Article 14,Article 23,"RSB has a helmet standard. However, there's no additional clarification that drivers must wear helmets meeting these standards. EM addition: ",Article 23,,,A driving course or training by a certified instructor is required. No specific number of hours set.,"""Motorcycle log books registered on company, cooperative;""",,"""valid commercial insurances for all motorcycles;""","Testing officer will check vehicle, including for a valid inspection certificate",Registration of commercial petrol motos banned in Kigali from Jan 2025,"VAT, excise duty, import duty exemptions",Many others,"Riders required to carry for passenger: ""To have two helmets (2): One for the rider and another for the passenger;""",,"Article 22: ""To transport only one passenger at a time;""",There must be? But I can't find it specifically.,"EM: Data sharing is mandated in the 2021 National Transport Strategy (""Mandate data sharing between transport network companies and government"") but not operationalised through regulation as far as I know (hypothesis: bilateral agreement RURA and/or police and platforms)",Not in the 2019 legislation.,"Initially, stages actually illegal. EM: in the 2013 Kigali TMP, they indicated that CoK allocated in 2021 53 motorcycle parking areas in major zones of the City to regulate parking of motorcycle taxis. In 2019, they set out that riders should ""park and operate in area designated by competent authority"" - unclear the impact this has had. According to companies (Ampersand, Yego), it's mostly free-floating, only very few parking spots planned.","2021 regulation only requires usage of waiting areas, but they are not stages per se","Article 13: ""has demonstrated that he/she belongs to a registered motorcycle public transport service cooperative""","Required for the stage in 2019 law (""To park and operate in area designated by competent authority""), but unclear if local or which authority","Very few online riders in Rwanda
Attempt to make registration mandatory (National Transport Policy and Strategy for Rwanda, 2021: 4.1.6 Taxi services: ""Empanel transport network companies to manage shared ride services via GPS tracking. Ensure that all moto and car taxi operators are operating under one of the empanelled service providers), considered failed (tbc in interviews)","Article 8: ""payment of application fee as indicated in appendix II;""","Article 26: individual operators must pay RWF 23,000 a year",,"Fare meter required But police have since told abamotari they are not required to use them: ""Use of motorcycle Intelligent Connected Fare Meter of a Moto Taxi Metering Platform with Hardware Requirements, Software Features and Backend Platform of an operator licensed by the Regulatory Authority;""","There does seem to be a requirement - because there is a fine for tampering with a GPS. In some places, this GPS requirement is linked to the fare meter. But it's all rather unclear, and seemingly not enforced.","Technically all commercial vehicles should be capped at 60 kph, and have speed governors
EM: distinct characteristics of attempted GPS tracking, linked to the smart/fare meters (Article 8.6 of the 2018 regulations), for police purpose (cf. interview at a platform provider in 2021, indicating data sharing with the police)",
Guatemala,No national law; Antigua Guatemala has banned app-based motorcycle taxis,Written,Not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Enforced,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source,Ley de Transito y su Reglamento ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Notes,"There appears to be no specific national legislation for moto-taxis; transportation of passengers is regulated.  Certain municipalities (e.g., Antigua Guatemala) have prohibited the use of motorcycle ride-hailing apps. The general transit code outlines requirements for pillion riders. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,"Brazil has a designated mototaxi category and surrounding legislation. Ride-hailing app fall outrside of this category as they are designated under ""private"" vehicles.",Written,Fragmented,Present,Present,Present,Present,Present,Present,Not present,Present,Present,Present,Present,Present,Present,Not present,Not present,Not present,Present,Present,Present,Present,Not present,Present,Not present,,Not present,Present,Present,,,,Not present,,Present,
,,Enforced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source,Ley 12.009,Ley 12.009,Ley 12.009,Ley 12.009,"RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022; RESOLUÇÃO CONTRAN 940, DE 28 DE MARÇO DE 2022","RESOLUÇÃO CONTRAN 940, DE 28 DE MARÇO DE 2022","Ley 12.009; RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022",,"PORTARIA MTE Nº 612, DE 25 DE ABRIL DE 2024","RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022",Ley 12.009,Ley 12.009,"LEI 13.640 MARCH 26, 2018","RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022",,,,"RESOLUÇÃO CONTRAN 940, DE 28 DE MARÇO DE 2022",RESOLUÇÃO CONTRAN Nº 350 DE 14 DE JUNHO DE 2010,,"RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022",,LEI 14.071 DE OUTUBRO DE 2020,,,,"RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022","LEI 13.640 MARCH 26, 2018",,,,,,"RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022",
