country,iso3,url,final_url,status,kind,bytes,local_path,no_local_copy_because
Afghanistan,AFG,https://www.arabnews.com/node/1659376/world,https://www.arabnews.com/node/1659376/world,http_error,,,,http_error
Algeria,DZA,https://www.joradp.dz/FTP/jo-francais/2016/F2016013.pdf,https://www.joradp.dz/FTP/jo-francais/2016/F2016013.pdf,ok,pdf,330330,documents/Algeria/F2016013-e90dece2.pdf,
Angola,AGO,https://files.lex.ao/presidente-da-republica/2022/decreto-presidencial-n-o-123-22-de-30-de-maio/download/decreto-presidencial-n-o-123-22-de-30-de-maio_presidente-da-republica_lex-ao.pdf,https://files.lex.ao/presidente-da-republica/2022/decreto-presidencial-n-o-123-22-de-30-de-maio/download/decreto-presidencial-n-o-123-22-de-30-de-maio_presidente-da-republica_lex-ao.pdf,ok,pdf,966909,documents/Angola/decreto-presidencial-n-o-123-22-de-30-de-maio_presidente-da-republica_lex-ao-be14485c.pdf,
Azerbaijan,AZE,https://emze.az/ru/novosti/obnovleniya-zakonodatelstva/noviye-trebovaniya-dlya-deyatelnosti-taksi-v-azerbaijane/,https://emze.az/ru/novosti/obnovleniya-zakonodatelstva/noviye-trebovaniya-dlya-deyatelnosti-taksi-v-azerbaijane/,http_error,,,,http_error
Bangladesh,BGD,https://easts.info/on-line/proceedings/vol.12/pdf/PP2543.pdf,https://easts.info/on-line/proceedings/vol.12/pdf/PP2543.pdf,ok,pdf,694658,documents/Bangladesh/PP2543-de3a9006.pdf,
Benin,BEN,https://shs.cairn.info/revue-l-economie-politique-2009-1-page-59?lang=fr#s1n5,https://shs.cairn.info/revue-l-economie-politique-2009-1-page-59?lang=fr#s1n5,http_error,,,,http_error
Benin,BEN,https://visiter-le-benin.com/les-taxis-motos-zemidjan-iconiques-du-benin/,,connection_error,,,,"HTTPSConnectionPool(host='visiter-le-benin.com', port=443): Max retries exceeded with url: /les-taxis-motos-zemidjan-iconiques-du-benin/ (Caused by NameResolutionError(""HTTPSConnection(host='visiter-l"
Benin,BEN,https://www.gouv.bj/article/2610/defaut-port-casque-routes-amende-forfaitaire-fixee-mille-5000-francs-cfa/,https://www.gouv.bj/article/2610/defaut-port-casque-routes-amende-forfaitaire-fixee-mille-5000-francs-cfa/,ok,html,34941,documents/Benin/defaut-port-casque-routes-amende-forfaitaire-fixee-mille-5000-francs-cfa-926d455e.html,
Benin,BEN,https://www.slateafrique.com/87145/des-taxi-motos-rois-du-benin,https://www.slateafrique.com/87145/des-taxi-motos-rois-du-benin,http_error,,,,http_error
Botswana,BWA,https://www.botswanatradeportal.org.bw/kcfinder/upload/files/Chapter%2069.01%20Road%20Traffic.pdf,https://www.botswanatradeportal.org.bw/kcfinder/upload/files/Chapter%2069.01%20Road%20Traffic.pdf,ok,pdf,521055,documents/Botswana/Chapter-69.01-Road-Traffic-6dd184bc.pdf,
Burkina Faso,BFA,https://academiedepolice.bf/index.php/telechargement/category/36-securite-des-transports?download=90:le-decret-portant-conditions-et-modalites-d-exploitation-a-titre-onereux-et-pour-compte-propre-des-velomoteurs-motocyclettes-tricycles-et-quadricycles-a-moteur,https://academiedepolice.bf/index.php/telechargement/category/36-securite-des-transports?download=90:le-decret-portant-conditions-et-modalites-d-exploitation-a-titre-onereux-et-pour-compte-propre-des-velomoteurs-motocyclettes-tricycles-et-quadricycles-a-moteur,ok,pdf,239889,documents/Burkina-Faso/36-securite-des-transports-b8bc9d95.pdf,
Burundi,BDI,https://pnb.gov.bi/documents/1657522240.pdf,https://pnb.gov.bi/documents/1657522240.pdf,http_error,,,,http_error
Cambodia,KHM,https://www.vdb-loi.com/wp-content/uploads/2021/07/New-regulation-in-Cambodia-on-road-transportation-services-provided-with-the-use-of-digital-technologies.pdf,https://www.vdb-loi.com/wp-content/uploads/2021/07/New-regulation-in-Cambodia-on-road-transportation-services-provided-with-the-use-of-digital-technologies.pdf,ok,pdf,552540,documents/Cambodia/New-regulation-in-Cambodia-on-road-transportation-services-provided-with-the-use-941bd686.pdf,
Cameroon,CMR,https://www.cameroon-tribune.cm/article.html/67166/fr.html,https://www.cameroon-tribune.cm/article.html/67166/fr.html,http_error,,,,http_error
Cameroon,CMR,https://www.investiraucameroun.com/gestion-publique/0801-21542-automobile-des-exonerations-fiscales-pour-stimuler-la-vente-des-vehicules-electriques-neufs-au-cameroun,https://www.investiraucameroun.com/gestion-publique/0801-21542-automobile-des-exonerations-fiscales-pour-stimuler-la-vente-des-vehicules-electriques-neufs-au-cameroun,ok,html,215318,documents/Cameroon/0801-21542-automobile-des-exonerations-fiscales-pour-stimuler-la-vente-des-vehic-e8566f11.html,
Cameroon,CMR,https://www.logistiqueconseil.org/Articles/Transport-routier/Moto-taxi.htm,https://www.logistiqueconseil.org/Articles/Transport-routier/Moto-taxi.htm,http_error,,,,http_error
Cameroon,CMR,https://www.logistiqueconseil.org/Articles/Transport-routier/Moto-taxi.html,https://www.logistiqueconseil.org/Articles/Transport-routier/Moto-taxi.html,ok,html,17699,documents/Cameroon/Moto-taxi-865bb744.html,
Cameroon,CMR,https://www.memoireonline.com/02/10/3152/m_Les-defis-de-la-securite-routiere-en-milieux-urbain-au-Cameroun-le-cas-des-motos-taxis-a-Yaoun8.html,https://www.memoireonline.com/02/10/3152/m_Les-defis-de-la-securite-routiere-en-milieux-urbain-au-Cameroun-le-cas-des-motos-taxis-a-Yaoun8.html,ok,html,25954,documents/Cameroon/m_Les-defis-de-la-securite-routiere-en-milieux-urbain-au-Cameroun-le-cas-des-mot-17be94c5.html,
Cameroon,CMR,https://www.scribd.com/document/585547827/resource-center-isanglegal-com-CODE-DE-LA-ROUTE-CAMEROUNAIS-CEMAC,https://www.scribd.com/document/585547827/resource-center-isanglegal-com-CODE-DE-LA-ROUTE-CAMEROUNAIS-CEMAC,bot_challenge,html,3038,,Client Challenge (303 chars of text)
Cameroon,CMR,https://www.unep.org/technical-highlight/cameroon-accelerates-electric-mobility-bold-tax-incentives,https://www.unep.org/technical-highlight/cameroon-accelerates-electric-mobility-bold-tax-incentives,ok,html,155587,documents/Cameroon/cameroon-accelerates-electric-mobility-bold-tax-incentives-d2506d67.html,
Cameroon,CMR,https://www.wearetech.africa/en/fils-uk/news/public-management/cameroon-douala-begins-digital-registration-of-moto-taxi-drivers,https://www.wearetech.africa/en/fils-uk/news/public-management/cameroon-douala-begins-digital-registration-of-moto-taxi-drivers,ok,html,126333,documents/Cameroon/cameroon-douala-begins-digital-registration-of-moto-taxi-drivers-ca011bf6.html,
Cape Verde,CPV,"https://www.scribd.com/document/695121574/Decreto-Legislativo-4-2005-Aprova-o-Novo-CoI-digo-de-Estrada#content=query:comercial,pageNum:26,indexOnPage:0,bestMatch:false","https://www.scribd.com/document/695121574/Decreto-Legislativo-4-2005-Aprova-o-Novo-CoI-digo-de-Estrada#content=query:comercial,pageNum:26,indexOnPage:0,bestMatch:false",bot_challenge,html,3038,,Client Challenge (303 chars of text)
Cape Verde,CPV,"https://www.scribd.com/document/695121574/Decreto-Legislativo-4-2005-Aprova-o-Novo-CoI-digo-de-Estrada#content=query:passageiro,pageNum:28,indexOnPage:0,bestMatch:false","https://www.scribd.com/document/695121574/Decreto-Legislativo-4-2005-Aprova-o-Novo-CoI-digo-de-Estrada#content=query:passageiro,pageNum:28,indexOnPage:0,bestMatch:false",bot_challenge,html,3038,,Client Challenge (303 chars of text)
Central African Republic,CAF,https://www.radiondekeluka.org/33836-rca-vers-la-reglementation-du-transport-des-taxis-motos,https://www.radiondekeluka.org/33836-rca-vers-la-reglementation-du-transport-des-taxis-motos,ok,html,57244,documents/Central-African-Republic/33836-rca-vers-la-reglementation-du-transport-des-taxis-motos-85093b6d.html,
Chad,TCD,https://www.lepaystchad.com/32133/,https://www.lepaystchad.com,ok,html,141421,documents/Chad/32133-d27905de.html,
Chad,TCD,https://www.scribd.com/document/695287816/Code-de-la-route-230929-195113,https://www.scribd.com/document/695287816/Code-de-la-route-230929-195113,bot_challenge,html,3038,,Client Challenge (303 chars of text)
China,CHN,https://www.sixthtone.com/news/1017048,https://www.sixthtone.com/news/1017048,ok,html,29341,documents/China/1017048-6090e51b.html,
Colombia,COL,https://leyes.co/codigo_nacional_de_transito_terrestre/131.htm,https://leyes.co/codigo_nacional_de_transito_terrestre/131.htm,ok,html,61906,documents/Colombia/131-9adbae00.html,
Colombia,COL,https://www.eluniversal.com.co/colombia/2025/03/06/nuevas-senales-de-transito-para-motos-en-colombia-cuidado-con-una-multa/#goog_rewarded,https://www.eluniversal.com.co/colombia/2025/03/06/nuevas-senales-de-transito-para-motos-en-colombia-cuidado-con-una-multa/#goog_rewarded,ok,html,333203,documents/Colombia/nuevas-senales-de-transito-para-motos-en-colombia-cuidado-con-una-multa-a1b03cef.html,
Colombia,COL,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=346,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=346,ok,html,133837,documents/Colombia/norma-8d3d49b9.html,
Comoros,COM,https://munganyo.km/public/storage/Ru6kwEyNW4W8f8QPy3h8q08rHaIjyQ-metaRMOpY3JldCBOwrAyMC0wNTJQUiBkdSAwMSBhdnJpbCAyMDIwIFByb211bGdhdGlvbiBDb2RlIGRlIGxhIHJvdXRlLnBkZg==-.pdf,https://munganyo.km/public/storage/Ru6kwEyNW4W8f8QPy3h8q08rHaIjyQ-metaRMOpY3JldCBOwrAyMC0wNTJQUiBkdSAwMSBhdnJpbCAyMDIwIFByb211bGdhdGlvbiBDb2RlIGRlIGxhIHJvdXRlLnBkZg==-.pdf,ok,pdf,5303127,documents/Comoros/Ru6kwEyNW4W8f8QPy3h8q08rHaIjyQ-metaRMOpY3JldCBOwrAyMC0wNTJQUiBkdSAwMSBhdnJpbCAyM-b23504f0.pdf,
Democratic Republic of the Congo,COD,https://africa24tv.com/congo-le-transport-par-motos-taxis-reglemente,https://africa24tv.com/congo-le-transport-par-motos-taxis-reglemente/,ok,html,183770,documents/Democratic-Republic-of-the-Congo/congo-le-transport-par-motos-taxis-reglemente-a05f5eb1.html,
Democratic Republic of the Congo,COD,https://www.leganet.cd/Legislation/DroitPenal/Roulage/Loi.078.022.30.08.1978.pdf,https://www.leganet.cd/Legislation/DroitPenal/Roulage/Loi.078.022.30.08.1978.pdf,ok,pdf,543945,documents/Democratic-Republic-of-the-Congo/Loi.078.022.30.08.1978-ce9f615f.pdf,
Democratic Republic of the Congo,COD,https://www.radiookapi.net/2024/02/13/actualite/securite/kinshasa-la-police-interdit-aux-moto-taxis-dacceder-la-commune-de,https://www.radiookapi.net/2024/02/13/actualite/securite/kinshasa-la-police-interdit-aux-moto-taxis-dacceder-la-commune-de,ok,html,56209,documents/Democratic-Republic-of-the-Congo/kinshasa-la-police-interdit-aux-moto-taxis-dacceder-la-commune-de-f201c563.html,
Democratic Republic of the Congo,COD,https://www.radiookapi.net/actualite/2010/09/08/motos-a-kinshasa-assurance-identification-et-port-des-casques-desormais-obligatoires,https://www.radiookapi.net/actualite/2010/09/08/motos-a-kinshasa-assurance-identification-et-port-des-casques-desormais-obligatoires,ok,html,53806,documents/Democratic-Republic-of-the-Congo/motos-a-kinshasa-assurance-identification-et-port-des-casques-desormais-obligato-a7769036.html,
Democratic Republic of the Congo,COD,https://www.research4cap.org/wp-content/uploads/ral/TransaidAmend-2020-MotorcycleTaxisThreeWheelersDRC-PolicyBrief-AfCAP-RAF2114A-200102.pdf,https://www.research4cap.org/wp-content/uploads/ral/TransaidAmend-2020-MotorcycleTaxisThreeWheelersDRC-PolicyBrief-AfCAP-RAF2114A-200102.pdf,ok,pdf,687924,documents/Democratic-Republic-of-the-Congo/TransaidAmend-2020-MotorcycleTaxisThreeWheelersDRC-PolicyBrief-AfCAP-RAF2114A-20-17cf8dfd.pdf,
Djibouti,DJI,https://tttfp.org/wp-content/uploads/2019/06/Djibouti-Final-Report-1Feb17.pdf,https://tttfp.org/wp-content/uploads/2019/06/Djibouti-Final-Report-1Feb17.pdf,ok,pdf,866771,documents/Djibouti/Djibouti-Final-Report-1Feb17-d17ce0c5.pdf,
Equatorial Guinea,GNQ,https://minhacienda-gob.com/wp-content/uploads/2020/06/TRABSPORTES-CARRETERA.pdf,https://minhacienda-gob.com/wp-content/uploads/2020/06/TRABSPORTES-CARRETERA.pdf,http_error,,,,http_error
Eritrea,ERI,https://www.loc.gov/resource/lleritrea.eritrean-proc-160-2007/?st=pdf&pdfPage=4,https://www.loc.gov/resource/lleritrea.eritrean-proc-160-2007/?st=pdf&pdfPage=4,http_error,,,,http_error
Eswatini,SWZ,https://eswatinilii.org/akn/sz/act/2007/5/eng@2007-09-20/source,https://eswatinilii.org/akn/sz/act/2007/5/eng@2007-09-20/source,http_error,,,,http_error
Ethiopia,ETH,https://chilot.wordpress.com/2021/02/10/road-transport-traffic-control-council-of-ministers-amendment-regulation-no-395-2017/,https://chilot.wordpress.com/2021/02/10/road-transport-traffic-control-council-of-ministers-amendment-regulation-no-395-2017/,ok,html,172515,documents/Ethiopia/road-transport-traffic-control-council-of-ministers-amendment-regulation-no-395-d2041374.html,
Gabon,GAB,https://www.scribd.com/document/681950404/DECRET-N-000311,https://www.scribd.com/document/681950404/DECRET-N-000311,bot_challenge,html,3038,,Client Challenge (303 chars of text)
Ghana,GHA,https://cleantechnica.com/2023/11/16/ghana-waives-import-duties-on-electric-vehicles-for-8-years-starting-2024/,https://cleantechnica.com/2023/11/16/ghana-waives-import-duties-on-electric-vehicles-for-8-years-starting-2024/,ok,html,126227,documents/Ghana/ghana-waives-import-duties-on-electric-vehicles-for-8-years-starting-2024-76abec3b.html,
Ghana,GHA,https://ir.parliament.gh/bitstream/handle/123456789/2683/ACT%20683%20Rev%20Ed.pdf?sequence=1&isAllowed=y,https://repository.parliament.gh,ok,html,498550,documents/Ghana/ACT-683-Rev-Ed-a929acc6.html,
Ghana,GHA,https://nrsa.gov.gh/news-and-events/nrsa-to-begin-registration-of-road-transport-service-providers-effective-march-2024/,https://nrsa.gov.gh/news-and-events/nrsa-to-begin-registration-of-road-transport-service-providers-effective-march-2024/,http_error,,,,http_error
Ghana,GHA,https://www.ghanaweb.com/GhanaHomePage/business/Parliament-passes-Road-Traffic-Amendment-Bill-2025-2013343,https://www.ghanaweb.com/GhanaHomePage/business/Parliament-passes-Road-Traffic-Amendment-Bill-2025-2013343,ok,html,1905,documents/Ghana/Parliament-passes-Road-Traffic-Amendment-Bill-2025-2013343-1c383554.html,
Ghana,GHA,https://www.mot.gov.gh/files/resources/National_Electric_Vehicle_Policy.pdf,https://www.mot.gov.gh/files/resources/National_Electric_Vehicle_Policy.pdf,ok,pdf,32545190,documents/Ghana/National_Electric_Vehicle_Policy-434fd46d.pdf,
Guinea-Bissau,GNB,https://faolex.fao.org/docs/pdf/gbs121648.pdf,https://faolex.fao.org/docs/pdf/gbs121648.pdf,ok,pdf,50594,documents/Guinea-Bissau/gbs121648-44bfed0b.pdf,
Guinea-Bissau,GNB,https://observador.pt/2024/07/04/policia-guineense-proibe-conducao-de-motos-sem-capacete-exige-carta-e-limita-passageiros/,https://observador.pt/2024/07/04/policia-guineense-proibe-conducao-de-motos-sem-capacete-exige-carta-e-limita-passageiros/,ok,html,296204,documents/Guinea-Bissau/policia-guineense-proibe-conducao-de-motos-sem-capacete-exige-carta-e-limita-pas-67703e37.html,
Indonesia,IDN,https://peraturan.bpk.go.id/Details/104095/permenhub-no-12-tahun-2019,https://peraturan.bpk.go.id/Details/104095/permenhub-no-12-tahun-2019,http_error,,,,http_error
Indonesia,IDN,https://setkab.go.id/inilah-keputusan-menhub-soal-besaran-tarif-jasa-ojek-dengan-aplikasi/,https://setkab.go.id/inilah-keputusan-menhub-soal-besaran-tarif-jasa-ojek-dengan-aplikasi/,bot_challenge,html,5616,,enable JavaScript (92 chars of text)
Ivory Coast,CIV,https://www.scribd.com/document/925975023/motorbike-taxi,https://www.scribd.com/document/925975023/motorbike-taxi,bot_challenge,html,3038,,Client Challenge (303 chars of text)
Japan,JPN,https://laws.e-gov.go.jp/law/326AC0000000183/,https://laws.e-gov.go.jp/law/326AC0000000183/,ok,html,800,documents/Japan/326AC0000000183-dee0e5a7.html,
Kazakhstan,KAZ,https://adilet.zan.kz/eng/docs/Z030000476_,https://adilet.zan.kz/eng/docs/Z030000476_,ok,html,238315,documents/Kazakhstan/Z030000476_-5fe11038.html,
Kenya,KEN,https://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/TrafficAct_Cap.403_No.37and38of2012Amendments.pdf,https://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/TrafficAct_Cap.403_No.37and38of2012Amendments.pdf,http_error,,,,http_error
Kenya,KEN,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06,ok,html,94674,documents/Kenya/eng-2015-03-06-140aa535.html,
Kenya,KEN,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06#sec_10,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06#sec_10,ok,html,94674,documents/Kenya/eng-2015-03-06-77dfa70d.html,
Kenya,KEN,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06/source.pdf,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06/source.pdf,ok,pdf,231694,documents/Kenya/source-c858aac8.pdf,
Kenya,KEN,https://new.kenyalaw.org/akn/ke/act/ln/2022/120/eng@2022-12-31,https://new.kenyalaw.org/akn/ke/act/ln/2022/120/eng@2022-12-31,ok,html,154792,documents/Kenya/eng-2022-12-31-c3ad4f51.html,
Kenya,KEN,https://www.the-star.co.ke/news/2026-02-23-what-different-number-plates-mean,https://www.the-star.co.ke/news/2026-02-23-what-different-number-plates-mean,ok,html,247121,documents/Kenya/2026-02-23-what-different-number-plates-mean-0f64ede7.html,
Kuwait,KWT,https://kuwaitarticles.com/wp-content/uploads/2025/04/New-Traffic-Law-in-Kuwait-PDF.pdf,https://kuwaitarticles.com/wp-content/uploads/2025/04/New-Traffic-Law-in-Kuwait-PDF.pdf,ok,pdf,193224,documents/Kuwait/New-Traffic-Law-in-Kuwait-PDF-1a3ad4b8.pdf,
Lesotho,LSO,https://lesotholii.org/akn/ls/act/1981/6/eng@1981-12-31,https://lesotholii.org/akn/ls/act/1981/6/eng@1981-12-31,http_error,,,,http_error
Liberia,LBR,https://frontpageafricaonline.com/news/liberia-police-and-motorcyclists-sign-mou-on-road-public-safety/,https://fpa.news/,ok,html,989668,documents/Liberia/liberia-police-and-motorcyclists-sign-mou-on-road-public-safety-f3589476.html,
Liberia,LBR,https://libmsp08.com/wp-content/uploads/2024/05/2008-REGULATION-GOVERNING-MOTORCYCLE-IN-LIBERIA.pdf,https://libmsp08.com/wp-content/uploads/2024/05/2008-REGULATION-GOVERNING-MOTORCYCLE-IN-LIBERIA.pdf,ok,pdf,130868,documents/Liberia/2008-REGULATION-GOVERNING-MOTORCYCLE-IN-LIBERIA-82fb01d1.pdf,
Libya,LBY,https://security-legislation.ly/latest-laws/decree-no-247-of-1994-on-specifying-the-provisions-and-rules-on-traffic-traffic-signals-and-traffic-etiquette/,https://security-legislation.ly/latest-laws/decree-no-247-of-1994-on-specifying-the-provisions-and-rules-on-traffic-traffic-signals-and-traffic-etiquette/,ok,html,213698,documents/Libya/decree-no-247-of-1994-on-specifying-the-provisions-and-rules-on-traffic-traffic-e2b5e043.html,
Madagascar,MDG,https://midi-madagasikara.mg/taxis-moto-linformel-inonde-le-secteur-le-processus-de-formalisation-se-poursuit/,https://midi-madagasikara.mg/taxis-moto-linformel-inonde-le-secteur-le-processus-de-formalisation-se-poursuit/,bot_challenge,html,1439,,enable javascript (117 chars of text)
Malawi,MWI,https://africaema.org/research/malawi-e-mobility-brief/,https://africaema.org/research/malawi-e-mobility-brief/,ok,html,134972,documents/Malawi/malawi-e-mobility-brief-f6273ed3.html,
Malawi,MWI,https://malawilii.org/akn/mw/act/1997/26/eng@2014-12-31,https://malawilii.org/akn/mw/act/1997/26/eng@2014-12-31,ok,html,896050,documents/Malawi/eng-2014-12-31-92d98968.html,
Malawi,MWI,https://media.malawilii.org/media/legislation/11927/source_file/787e847530fc531f/1997-26.pdf,https://media.malawilii.org/media/legislation/11927/source_file/787e847530fc531f/1997-26.pdf,ok,pdf,775490,documents/Malawi/1997-26-47f081ea.pdf,
Malaysia,MYS,https://tcclaw.com.my/wp-content/uploads/2025/08/Land-Public-Transport-Act-2010.pdf,https://tcclaw.com.my/wp-content/uploads/2025/08/Land-Public-Transport-Act-2010.pdf,ok,pdf,1610374,documents/Malaysia/Land-Public-Transport-Act-2010-fb5477ee.pdf,
Mali,MLI,https://amap.ml/regulation-du-secteur-des-motos-taxis-le-delai-de-grace-prend-fin-le-30-avril/,,timeout,,,,timeout
Mali,MLI,https://maliactu.net/mali-larrete-du-maire-du-district-au-sujet-des-motos-taxis-obligation-de-carte-grise-plaque-dimmatriculation-couleur-jaune-limitation-de-vitesse/,https://maliactu.net/mali-larrete-du-maire-du-district-au-sujet-des-motos-taxis-obligation-de-carte-grise-plaque-dimmatriculation-couleur-jaune-limitation-de-vitesse/,ok,html,108170,documents/Mali/mali-larrete-du-maire-du-district-au-sujet-des-motos-taxis-obligation-de-carte-g-a5b49bcc.html,
Mauritania,MRT,https://documents1.worldbank.org/curated/en/878001625140712976/pdf/Mauritania-Transport-Policy-Note.pdf,https://documents1.worldbank.org/curated/en/878001625140712976/pdf/Mauritania-Transport-Policy-Note.pdf,ok,pdf,1323144,documents/Mauritania/Mauritania-Transport-Policy-Note-94ea9a1f.pdf,
Morocco,MAR,"https://en.bladi.net/morocco-cracks-down-illegal-motorcycle-taxi-services-major-cities,109378.html","https://en.bladi.net/morocco-cracks-down-illegal-motorcycle-taxi-services-major-cities,109378.html",ok,html,39978,documents/Morocco/morocco-cracks-down-illegal-motorcycle-taxi-services-major-cities-109378-dc22e367.html,
Mozambique,MOZ,https://www.inatro.gov.mz/wp-content/uploads/2019/08/RTA-2019-BR_35_2019-de-10-de-Maio-Regulamento-de-Transporte-Automovel.pdf,https://www.inatro.gov.mz/wp-content/uploads/2019/08/RTA-2019-BR_35_2019-de-10-de-Maio-Regulamento-de-Transporte-Automovel.pdf,ok,pdf,11498261,documents/Mozambique/RTA-2019-BR_35_2019-de-10-de-Maio-Regulamento-de-Transporte-Automovel-60eeacd0.pdf,
Myanmar,MMR,https://www.economist.com/asia/2019/01/19/motorbikes-are-oddly-absent-from-myanmars-biggest-city,https://www.economist.com/asia/2019/01/19/motorbikes-are-oddly-absent-from-myanmars-biggest-city,http_error,,,,http_error
Namibia,NAM,https://namiblii.org/akn/na/act/gn/2020/113/eng@2020-04-30,https://namiblii.org/akn/na/act/gn/2020/113/eng@2020-04-30,http_error,,,,http_error
Niger,NER,"https://www.scribd.com/document/623261551/Code-de-la-route#content=query:motocycle,pageNum:5,indexOnPage:0,bestMatch:false","https://www.scribd.com/document/623261551/Code-de-la-route#content=query:motocycle,pageNum:5,indexOnPage:0,bestMatch:false",bot_challenge,html,3038,,Client Challenge (303 chars of text)
Oman,OMN,https://naql.om/assets/resources/LandRegulationsEnglish.pdf,,connection_error,,,,"HTTPSConnectionPool(host='naql.om', port=443): Max retries exceeded with url: /assets/resources/LandRegulationsEnglish.pdf (Caused by NameResolutionError(""HTTPSConnection(host='naql.om', port=443): Fa"
