country,topic,reference
Angola,Drivers license,Decreto Presidencial n.º 123/22 de 30 de maio de 2022
Angola,Visible ID (on jacket or elsewhere),"Decreto Presidencial n.º 123/22 de 30 de maio de 2022, artigo 10"
Angola,Passenger helmet,Novo Codigo de Estrada de Angola
Armenia,Legislation Addressing Moto-Taxis,"Law ""On Motor Transport"" (No. ՀՕ-233-Ն, 5 Dec 2006, as amended through July 2025)"
Bahrain,Legislation Addressing Moto-Taxis,Traffic Law No. 23 of 2014 + Public Transport Activities Licensing Regulations
Belize,Legislation Addressing Moto-Taxis,Motor Vehicle and Road Traffic Act
Benin,Legislation Addressing Moto-Taxis,Order no.°2016/MTPT/MISD/DC/SG/CTTT/DGTT/SPC/SER of 7 March 2016
Bhutan,Legislation Addressing Moto-Taxis,"Road Safety and Transport Act, 1999"
Bolivia,Legislation Addressing Moto-Taxis,Ley General de Transporte
Brazil,Insurance (third party / liability),"LEI 13.640 MARCH 26, 2018"
Brazil,Passenger age requirement,LEI 14.071 DE OUTUBRO DE 2020
Brazil,Legislation Addressing Moto-Taxis,Ley 12.009
Brazil,Reflector jacket,"Ley 12.009; RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022"
Brazil,Toxicology screening (apart from alcohol),"PORTARIA MTE Nº 612, DE 25 DE ABRIL DE 2024"
Brazil,Helmet quality,"RESOLUÇÃO CONTRAN 940, DE 28 DE MARÇO DE 2022"
Brazil,Road behavior / standard of service,RESOLUÇÃO CONTRAN Nº 350 DE 14 DE JUNHO DE 2010
Brazil,Driver training,"RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022"
Brazil,Driver helmet,"RESOLUÇÃO CONTRAN Nº 943, DE 28 DE MARÇO DE 2022; RESOLUÇÃO CONTRAN 940, DE 28 DE MARÇO DE 2022"
Cameroon,Insurance (third party / liability),Décret 2008/3447/PM
Cameroon,Legislation Addressing Moto-Taxis,Décret n°2008/3447/PM
Chile,Legislation Addressing Moto-Taxis,"Ley EAT, Ley Transporte Urbano, Licencia de conductor professional (A)"
Dominican Republic,Commercial operating license (PSV etc),75
Dominican Republic,Helmet quality,Article 157
Dominican Republic,Vehicle registration (logbook),Article 39
Dominican Republic,Insurance (third party / liability),Article 39-4
Dominican Republic,Vehicle quality check (recurring),"Article 40, 39-2"
Dominican Republic,Multiple passenger restriction,Article 41-6
Dominican Republic,Other,"Article 41-6,. 78"
Dominican Republic,Drivers license,Article 75
Dominican Republic,Physical or organizational requirements at stages,Article 75 para. 2
Dominican Republic,Driver helmet,Article 77
Dominican Republic,Visible ID (on jacket or elsewhere),Article 77 Para 1
Dominican Republic,Passenger age requirement,Article 78
Dominican Republic,Passenger helmet,Aticle 157 and 251
Ecuador,Legislation Addressing Moto-Taxis,010-DIR-ANT-2022
El Salvador,Legislation Addressing Moto-Taxis,Ley de Transporte Terrestre
Ghana,Insurance (third party / liability),1958 Motor Vehicle (third party insurance) act
Ghana,Drivers license,"2004 Road Traffic Act, Part Four - 53"
Ghana,Driver helmet,"Road Traffic (Amendment) Act, Dec 2025"
Guatemala,Legislation Addressing Moto-Taxis,Ley de Transito y su Reglamento
Guinea,Legislation Addressing Moto-Taxis,Arrete A/2023/1092/MT/CAB/SGG du 27 Mars 2023.
Guinea,Vehicle registration (logbook),Arrêté A/2023/1092 communiqué (2023
Guinea,Driver helmet,Decree 857 of March 26 2010
Guinea,Drivers license,Decree 861
Guinea,Geographic restrictions,"Decree 861, article 2"
Honduras,Legislation Addressing Moto-Taxis,Decreto 240-2011
India,Legislation Addressing Moto-Taxis,Motor Vehicle Aggregator Guidelines 2025
India,Driver helmet,"The Motor Vehicles Act, 1988"
Indonesia,Online riders regulated,Here
Indonesia,Insurance (third party / liability),Highway Code Indonesia
Indonesia,Reflector jacket,"Indonesia Reg. 12 of 2018, art. 4"
Indonesia,Drivers license,Indonesia-Reg.-No.-12-of-2019.pdf
Iran,Online riders regulated,Smart Passenger Service Provider Guidelines
Jordan,Legislation Addressing Moto-Taxis,2017 Public Transport Law
Kenya,Fiscal incentives for electrification,Annual budget
Kenya,ID / Biodata (database),From Andrea's interview with Paul King'ori and other Kenyan regulators
Kyrgyzstan,Legislation Addressing Moto-Taxis,"Law of the Kyrgyz Republic ""On Motor Transport"" (Закон КР ""Об автомобильном транспорте"""
Liberia,Drivers license,2008 Regulation Governing the Operations of Motorbike
Liberia,Passenger age requirement,Age
Liberia,Overloading,Cargo/Goods
Liberia,Multiple passenger restriction,Dress Code and Passenger Limit
Liberia,Driver helmet,Dress code and passenger limit
Liberia,Insurance (third party / liability),Insurance
Liberia,Geographic restrictions,Parking
Liberia,Driver training,Qualification
Liberia,Commercial operating license (PSV etc),Regulation
Liberia,Other,Time/Hour(s) of Operation
Liberia,Reflector jacket,Uniformity
Mexico,Legislation Addressing Moto-Taxis,Ley de Movilidad de La Ciudad de Mexico
Mongolia,Legislation Addressing Moto-Taxis,"Law on Auto Transport (Автотээврийн тухай хууль), adopted 4 June 1999"
Nepal,Legislation Addressing Moto-Taxis,Motor Vehicles and Transportation Management Act 1993
Nicaragua,Legislation Addressing Moto-Taxis,Reglamento de La Ley General de Transito
Panama,Legislation Addressing Moto-Taxis,Reglamento de Transito Vehicular
Paraguay,Legislation Addressing Moto-Taxis,Ley Nacional de Transito y Seguridad Vial
Republic of the Congo,Road behavior / standard of service,Regulated by Decree N 2024-324 - Art. 3
Republic of the Congo,Geographic restrictions,Regulated by Decree N 2024-324 - Art. 4
Republic of the Congo,Vehicle registration (logbook),Regulated by Decree N 2024-324 - Art. 5
Republic of the Congo,Driver helmet,Regulated by Decree N 2024-324 - Art. 6
Republic of the Congo,Drivers license,Regulated by Decree N 2024-324 - Art. 7
Republic of the Congo,Overloading,Regulated by Decree N 2024-324 - Art. 8
Rwanda,Vehicle quality check (recurring),Police
Rwanda,Helmet quality,RS 576:2024
Rwanda,Legislation Addressing Moto-Taxis,RURA 2019
Senegal,Multiple passenger restriction,"Article D27: prohibited to transport ""more than 2 passengers"""
Senegal,License plate specific to commercial operators,License plate mandated by traffic laws (ARTICLE L6) but seemingly not specific to commercial activities
Senegal,Insurance (third party / liability),"Part of the requirement to register a vehicle (traffuc laws, article L9)"
